ts,host,soc,jetpack,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,avg_power_w,max_power_w,idle_power_w,net_power_w,energy_total_j,energy_per_generated_token_j,energy_per_all_tokens_j,avg_gpu_temp_c,avg_cpu_temp_c,throttling
2025-10-08_14:23:50,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-q5,3,4,4096,128,659,128,10.4118,4.7611,13.1799,16.3907,63.29,26.88,150,160,2116,6.230,0.000,2.704,3.526,57.7936,0.451512,0.073435,51.4,56.4,no
2025-10-08_14:24:01,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,512,32,59,32,1.1093,2.4292,5.2530,5.2240,53.19,13.17,146,160,2114,5.065,0.000,2.744,2.321,12.1249,0.378903,0.133241,50.0,56.0,no
2025-10-08_14:24:11,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,512,32,59,32,1.1035,2.4127,4.7770,4.7479,53.47,13.26,148,160,2112,4.909,0.000,2.667,2.242,10.6448,0.332650,0.116976,50.0,55.0,no
2025-10-08_14:24:21,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,512,32,59,32,1.1071,2.4108,4.7344,4.7039,53.29,13.27,149,160,2109,4.702,0.000,3.612,1.090,5.1273,0.160228,0.056344,50.8,54.0,no
2025-10-08_14:24:34,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,512,64,59,64,1.0973,4.9254,5.5949,7.4537,53.77,12.99,146,160,2121,5.130,0.000,3.525,1.605,11.9632,0.186925,0.097262,50.2,54.0,no
2025-10-08_14:24:47,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,512,64,59,64,1.1011,4.9507,5.6091,7.4874,53.58,12.93,146,160,2121,5.158,0.000,2.744,2.414,18.0746,0.282416,0.146948,50.2,55.0,no
2025-10-08_14:25:00,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,512,64,59,64,1.1026,4.9669,5.7740,7.6481,53.51,12.89,146,160,2126,5.099,0.000,2.708,2.391,18.2866,0.285728,0.148672,50.3,53.8,no
2025-10-08_14:25:18,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,512,128,59,128,1.1027,10.0466,5.6201,12.5885,53.51,12.74,144,160,2123,5.212,0.000,2.707,2.505,31.5342,0.246361,0.168632,50.7,54.6,no
2025-10-08_14:25:36,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,512,128,59,128,1.1042,9.9778,5.5888,12.5001,53.43,12.83,145,160,2123,5.212,0.000,2.708,2.504,31.3003,0.244534,0.167381,50.7,54.1,no
2025-10-08_14:25:54,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,512,128,59,128,1.1025,9.9247,5.5744,12.4487,53.51,12.90,144,160,2128,5.222,0.000,2.668,2.554,31.7940,0.248391,0.170021,51.0,53.7,no
2025-10-08_14:26:06,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,1024,32,130,32,2.5127,2.4587,6.4935,6.4664,51.74,13.02,150,160,2113,4.946,0.000,2.728,2.218,14.3425,0.448203,0.088534,49.8,53.5,no
2025-10-08_14:26:18,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,1024,32,130,32,2.5187,2.4421,6.1908,6.1623,51.61,13.10,147,160,2119,4.976,0.000,2.688,2.288,14.0993,0.440603,0.087033,50.0,55.0,no
2025-10-08_14:26:29,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,1024,32,130,32,2.5375,2.4517,6.1922,6.1620,51.23,13.05,149,160,2115,4.886,0.000,3.596,1.290,7.9490,0.248406,0.049068,49.5,52.5,no
2025-10-08_14:26:44,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,1024,64,130,64,2.5119,4.9806,7.0614,8.9306,51.75,12.85,152,160,2121,5.085,0.000,3.602,1.483,13.2441,0.206939,0.068269,49.7,53.0,no
2025-10-08_14:26:58,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,1024,64,130,64,2.5271,5.0016,6.8326,8.7115,51.44,12.80,151,160,2120,5.002,0.000,2.668,2.334,20.3326,0.317697,0.104807,49.0,54.0,no
2025-10-08_14:27:12,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,1024,64,130,64,2.5057,5.0314,7.0748,8.9640,51.88,12.72,146,160,2121,5.074,0.000,3.441,1.633,14.6382,0.228722,0.075455,49.0,54.0,no
2025-10-08_14:27:31,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,1024,128,130,128,2.5184,10.1514,6.8011,13.8485,51.62,12.61,145,160,2121,5.119,0.000,2.708,2.411,33.3887,0.260849,0.129414,49.6,53.5,no
2025-10-08_14:27:51,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,1024,128,130,128,2.5065,10.0918,7.0434,14.0202,51.87,12.68,155,160,2112,5.150,0.000,3.562,1.588,22.2641,0.173938,0.086295,49.0,53.0,no
2025-10-08_14:28:10,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,1024,128,130,128,2.5166,10.0869,7.0661,14.0441,51.66,12.69,152,160,2121,5.136,0.000,2.688,2.448,34.3800,0.268594,0.133256,49.3,54.2,no
2025-10-08_14:28:26,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,2048,32,312,32,6.4986,2.5309,10.5118,10.4828,48.01,12.64,155,160,2108,4.932,0.000,2.747,2.185,22.9049,0.715778,0.066584,49.3,53.6,no
2025-10-08_14:28:42,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,2048,32,312,32,6.5361,2.5453,10.2949,10.2658,47.73,12.57,152,160,2112,4.853,0.000,2.688,2.165,22.2255,0.694547,0.064609,49.0,53.0,no
2025-10-08_14:28:58,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,2048,32,312,32,6.4895,2.5285,10.4682,10.4385,48.08,12.66,155,160,2110,4.904,0.000,3.596,1.308,13.6536,0.426675,0.039691,49.2,54.2,no
2025-10-08_14:29:16,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,2048,64,312,64,6.5001,5.1397,10.8847,12.8199,48.00,12.45,151,160,2113,4.916,0.000,2.707,2.209,28.3192,0.442487,0.075317,49.2,53.9,no
2025-10-08_14:29:35,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,2048,64,312,64,6.4458,5.1451,11.0611,13.0138,48.40,12.44,154,160,2111,4.981,0.000,3.539,1.442,18.7659,0.293217,0.049909,49.5,52.9,no
2025-10-08_14:29:53,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,2048,64,312,64,6.4629,5.1126,11.0748,13.0121,48.28,12.52,151,160,2120,4.978,0.000,2.708,2.270,29.5375,0.461523,0.078557,49.4,53.6,no
2025-10-08_14:30:17,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,2048,128,312,128,6.5250,10.4383,10.9083,18.1415,47.82,12.26,152,160,2108,5.024,0.000,2.688,2.336,42.3785,0.331082,0.096315,49.8,54.2,no
2025-10-08_14:30:40,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,2048,128,312,128,6.4889,10.2607,11.1031,18.1836,48.08,12.47,151,160,2114,5.067,0.000,3.615,1.452,26.4026,0.206270,0.060006,49.6,53.4,no
2025-10-08_14:31:04,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,2048,128,312,128,6.4746,10.2734,11.0734,18.1922,48.19,12.46,152,160,2112,5.081,0.000,2.668,2.413,43.8978,0.342952,0.099768,49.8,52.9,no
2025-10-08_14:31:29,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,4096,32,659,32,15.0694,2.6286,19.1592,19.1285,43.73,12.17,153,160,2112,4.975,0.000,2.708,2.267,43.3643,1.355134,0.062756,49.7,53.8,no
2025-10-08_14:31:53,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,4096,32,659,32,15.1016,2.6363,19.2089,19.1759,43.64,12.14,153,160,2112,4.933,0.000,2.688,2.245,43.0499,1.345309,0.062301,49.6,53.3,no
2025-10-08_14:32:18,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,4096,32,659,32,15.0996,2.7001,19.2808,19.2489,43.64,11.85,156,162,2107,4.941,0.000,2.688,2.253,43.3678,1.355244,0.062761,49.7,54.2,no
2025-10-08_14:32:45,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,4096,64,659,64,15.0872,5.3466,19.8542,21.8718,43.68,11.97,153,162,2110,4.990,0.000,2.708,2.282,49.9114,0.779866,0.069034,49.5,52.8,no
2025-10-08_14:33:13,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,4096,64,659,64,15.1235,5.3801,19.9163,21.9423,43.57,11.90,152,162,2111,4.979,0.000,2.708,2.271,49.8310,0.778609,0.068923,49.6,54.2,no
2025-10-08_14:33:40,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,4096,64,659,64,15.1484,5.3526,19.9208,21.9449,43.50,11.96,156,162,2115,4.963,0.000,2.668,2.295,50.3635,0.786930,0.069659,49.9,54.4,no
2025-10-08_14:34:13,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,2,4096,128,659,128,15.1955,11.0065,20.0003,27.6341,43.37,11.63,153,162,2110,5.030,0.000,2.707,2.323,64.1940,0.501516,0.081568,49.9,54.3,no
2025-10-08_14:34:46,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,2,4096,128,659,128,15.0736,10.9816,19.8890,27.4958,43.72,11.66,155,162,2108,5.056,0.000,2.688,2.368,65.1101,0.508673,0.082732,50.0,53.5,no
2025-10-08_14:35:19,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,2,4096,128,659,128,15.1137,10.8323,19.8692,27.3771,43.60,11.82,153,162,2109,5.071,0.000,2.688,2.383,65.2396,0.509684,0.082897,50.7,53.6,no
2025-10-08_14:35:28,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,512,32,59,32,0.6224,1.5889,3.6782,3.6499,94.79,20.14,157,162,2097,5.951,0.000,2.708,3.243,11.8366,0.369894,0.130073,50.0,55.0,no
2025-10-08_14:35:37,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,512,32,59,32,0.6306,1.6976,3.8024,3.7743,93.56,18.85,158,162,2094,5.895,0.000,2.667,3.228,12.1834,0.380731,0.133884,49.7,55.0,no
2025-10-08_14:35:47,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,4,512,32,59,32,0.6264,1.7330,3.8384,3.8106,94.19,18.47,157,162,2104,5.863,0.000,2.649,3.214,12.2473,0.382728,0.134586,50.3,55.0,no
2025-10-08_14:35:57,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,512,64,59,64,0.6935,3.3126,4.1938,5.4419,85.08,19.32,156,162,2102,6.342,0.000,2.688,3.654,19.8847,0.310698,0.161664,49.7,55.0,no
2025-10-08_14:36:08,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,512,64,59,64,0.6223,3.3656,4.1805,5.4263,94.81,19.02,155,162,2100,6.321,0.000,2.746,3.575,19.3990,0.303109,0.157715,49.7,55.0,no
2025-10-08_14:36:19,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,4,512,64,59,64,0.6766,3.2772,4.1348,5.3875,87.20,19.53,156,162,2106,6.310,0.000,2.707,3.603,19.4112,0.303300,0.157815,49.7,55.0,no
2025-10-08_14:36:33,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,512,128,59,128,0.6422,6.7047,4.1212,8.7794,91.87,19.09,155,162,2106,6.453,0.000,2.668,3.785,33.2300,0.259609,0.177701,50.2,54.3,no
2025-10-08_14:36:48,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,512,128,59,128,0.6936,6.7652,4.3007,8.8988,85.06,18.92,155,162,2103,6.542,0.000,2.744,3.798,33.7976,0.264044,0.180736,49.8,53.7,no
2025-10-08_14:37:02,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,4,512,128,59,128,0.6347,6.6888,4.1209,8.7628,92.96,19.14,158,162,2103,6.480,0.000,2.668,3.812,33.4038,0.260967,0.178630,50.3,55.0,no
2025-10-08_14:37:12,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,1024,32,130,32,1.4598,1.7120,4.6371,4.6100,89.05,18.69,157,162,2102,6.138,0.000,2.728,3.410,15.7201,0.491253,0.097038,50.0,55.0,no
2025-10-08_14:37:22,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,1024,32,130,32,1.3972,1.6667,4.5259,4.4988,93.04,19.20,156,162,2097,6.154,0.000,2.667,3.487,15.6873,0.490228,0.096835,50.0,55.0,no
2025-10-08_14:37:32,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,4,1024,32,130,32,1.3902,1.6137,4.4711,4.4441,93.51,19.83,159,162,2102,5.992,0.000,2.628,3.364,14.9500,0.467187,0.092284,50.5,55.0,no
2025-10-08_14:37:44,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,1024,64,130,64,1.4482,3.5023,5.1165,6.4159,89.77,18.27,156,162,2102,6.437,0.000,2.708,3.729,23.9249,0.373827,0.123324,50.0,55.0,no
2025-10-08_14:37:56,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,1024,64,130,64,1.3987,3.4655,4.9901,6.2982,92.94,18.47,156,162,2105,6.433,0.000,2.724,3.709,23.3600,0.365000,0.120412,49.8,54.7,no
2025-10-08_14:38:07,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,4,1024,64,130,64,1.4012,3.4804,4.9901,6.3084,92.78,18.39,155,162,2103,6.441,0.000,2.707,3.734,23.5556,0.368056,0.121421,49.8,55.5,no
2025-10-08_14:38:23,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,1024,128,130,128,1.4484,6.9152,5.0441,9.8185,89.75,18.51,157,162,2095,6.608,0.000,2.728,3.880,38.0958,0.297623,0.147658,50.6,54.0,no
2025-10-08_14:38:38,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,1024,128,130,128,1.4355,6.8348,5.0452,9.7138,90.56,18.73,157,162,2095,6.548,0.000,2.688,3.860,37.4953,0.292932,0.145331,50.8,55.0,no
2025-10-08_14:38:53,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,4,1024,128,130,128,1.4053,7.0109,5.0488,9.8500,92.51,18.26,157,162,2094,6.466,0.000,2.687,3.779,37.2231,0.290805,0.144276,52.0,56.0,no
2025-10-08_14:39:05,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,2048,32,312,32,3.6027,1.7938,6.8596,6.8312,86.60,17.84,154,162,2098,6.272,0.000,2.727,3.545,24.2166,0.756769,0.070397,50.8,56.0,no
2025-10-08_14:39:18,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,2048,32,312,32,3.6249,1.7515,6.8522,6.8237,86.07,18.27,156,162,2097,6.091,0.000,2.724,3.367,22.9754,0.717981,0.066789,50.7,56.0,no
2025-10-08_14:39:30,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,4,2048,32,312,32,3.5826,1.7084,6.7462,6.7176,87.09,18.73,154,162,2098,6.264,0.000,2.704,3.560,23.9147,0.747334,0.069519,50.5,56.0,no
2025-10-08_14:39:44,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,2048,64,312,64,3.5885,3.4569,7.1747,8.4815,86.94,18.51,158,162,2091,6.448,0.000,2.744,3.704,31.4155,0.490867,0.083552,50.7,55.3,no
2025-10-08_14:39:58,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,2048,64,312,64,3.5851,3.3977,7.1646,8.4347,87.03,18.84,156,162,2093,6.305,0.000,2.708,3.597,30.3396,0.474056,0.080690,50.7,56.0,no
2025-10-08_14:40:12,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,4,2048,64,312,64,3.6000,3.4020,7.1776,8.4299,86.67,18.81,160,162,2091,6.415,0.000,2.664,3.751,31.6206,0.494072,0.084097,51.0,56.0,no
2025-10-08_14:40:29,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,2048,128,312,128,3.5830,7.1067,7.2345,12.1268,87.08,18.01,158,162,2093,6.570,0.000,2.724,3.846,46.6397,0.364373,0.105999,51.5,55.8,no
2025-10-08_14:40:47,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,2048,128,312,128,3.6105,7.0423,7.2099,12.0929,86.41,18.18,158,162,2094,6.565,0.000,2.744,3.821,46.2070,0.360992,0.105016,52.5,56.7,no
2025-10-08_14:41:04,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,4,2048,128,312,128,3.5880,7.2748,7.3292,12.2968,86.96,17.59,155,162,2097,6.529,0.000,2.724,3.805,46.7893,0.365541,0.106339,52.4,56.1,no
2025-10-08_14:41:21,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,4096,32,659,32,8.3669,1.7571,11.5887,11.5555,78.76,18.21,156,162,2095,6.404,0.000,2.744,3.660,42.2931,1.321659,0.061206,52.2,57.0,no
2025-10-08_14:41:39,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,4096,32,659,32,8.3078,1.7852,11.6855,11.6542,79.32,17.93,155,162,2097,6.481,0.000,2.724,3.757,43.7848,1.368275,0.063364,52.0,56.8,no
2025-10-08_14:41:56,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,4,4096,32,659,32,8.3310,1.8038,11.6087,11.5752,79.10,17.74,156,164,2096,6.413,0.000,2.724,3.689,42.7009,1.334403,0.061796,52.2,57.0,no
2025-10-08_14:42:14,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,4096,64,659,64,8.3002,3.5816,11.9696,13.3130,79.40,17.87,155,164,2104,6.499,0.000,2.841,3.658,48.6990,0.760922,0.067357,53.3,57.5,no
2025-10-08_14:42:33,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,4096,64,659,64,8.3106,3.6746,12.0476,13.4203,79.30,17.42,152,164,2104,6.508,0.000,2.744,3.764,50.5140,0.789281,0.069867,53.4,57.4,no
2025-10-08_14:42:52,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,3,4,4096,64,659,64,8.3849,3.5718,12.0329,13.3954,78.59,17.92,156,164,2096,6.490,0.000,2.764,3.726,49.9113,0.779864,0.069034,53.0,57.7,no
2025-10-08_14:43:15,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,1,4,4096,128,659,128,8.2907,7.5044,12.0269,17.2259,79.49,17.06,151,164,2100,6.618,0.000,2.744,3.874,66.7331,0.521352,0.084794,53.6,57.4,no
2025-10-08_14:43:38,tudor14-desktop,jetson-nano-4gb,32.7.6-20241104234540,nano-125m-f16,2,4,4096,128,659,128,8.3074,7.5387,11.9859,17.2775,79.33,16.98,156,164,2095,6.609,0.000,2.724,3.885,67.1231,0.524399,0.085290,54.4,58.6,no
